2026-03-08 08:40:14 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-08 08:40:14 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.2 with PID 10796 (E:\JAVA\wms-ruoyi-master\ruoyi-admin-wms\target\classes started by admin in E:\JAVA\wms-ruoyi-master)
2026-03-08 08:40:14 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2026-03-08 08:40:21 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2026-03-08 08:40:22 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-03-08 08:40:22 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-03-08 08:40:22 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@79636080
2026-03-08 08:40:22 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-03-08 08:40:22 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2026-03-08 08:40:22 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-03-08 08:40:22 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2026-03-08 08:40:25 [main] INFO  c.r.common.redis.config.RedisConfig - 初始化 redis 配置
2026-03-08 08:40:25 [main] INFO  org.redisson.Version - Redisson 3.29.0
2026-03-08 08:40:25 [redisson-netty-1-5] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for localhost/127.0.0.1:6379
2026-03-08 08:40:25 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for localhost/127.0.0.1:6379
2026-03-08 08:40:27 [main] INFO  c.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2026-03-08 08:40:31 [main] INFO  io.undertow - starting server: Undertow - 2.3.13.Final
2026-03-08 08:40:31 [main] INFO  org.xnio - XNIO version 3.8.8.Final
2026-03-08 08:40:31 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
2026-03-08 08:40:31 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2026-03-08 08:40:31 [main] INFO  com.ruoyi.RuoYiApplication - Started RuoYiApplication in 18.427 seconds (process running for 19.548)
2026-03-08 08:40:31 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2026-03-08 08:40:31 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2026-03-08 08:40:32 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2026-03-08 08:40:39 [XNIO-1 task-2] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-08 08:40:39 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /captchaImage],无参数
2026-03-08 08:40:40 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /captchaImage],耗时:[1193]毫秒
2026-03-08 08:41:04 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /login],参数类型[json],参数:[{"username":"admin","password":"000000","code":"17","uuid":"82716f1642b94c6c98778cd53c4383ea"}]
2026-03-08 08:41:05 [schedule-pool-1] INFO  c.r.s.service.SysLogininforService - [0:0:0:0:0:0:0:1]内网IP[admin][Success][登录成功]
2026-03-08 08:41:05 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /login],耗时:[663]毫秒
2026-03-08 08:41:05 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getInfo],无参数
2026-03-08 08:41:05 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/merchant/listNoPage],无参数
2026-03-08 08:41:05 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/itemCategory/listNoPage],无参数
2026-03-08 08:41:05 [XNIO-1 task-5] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/warehouse/listNoPage],无参数
2026-03-08 08:41:05 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/merchant/listNoPage],耗时:[56]毫秒
2026-03-08 08:41:05 [XNIO-1 task-5] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/warehouse/listNoPage],耗时:[55]毫秒
2026-03-08 08:41:05 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/itemCategory/listNoPage],耗时:[73]毫秒
2026-03-08 08:41:05 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /getInfo],耗时:[108]毫秒
2026-03-08 08:41:05 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/itemCategory/treeselect],无参数
2026-03-08 08:41:05 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/itemCategory/treeselect],耗时:[9]毫秒
2026-03-08 08:41:05 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getRouters],无参数
